Term	Index	Ancestors
GO:0097542	330	0 1
GO:0070865	331	0 1
GO:0031252	332	0 1
GO:0031911	333	0 1
GO:0120307	334	0 1
GO:0120280	335	0 1
GO:0043036	336	0 1
GO:0033270	337	0 1
GO:0070258	338	0 1
GO:0009574	339	0 1
GO:0020032	340	0 1
GO:0060111	341	0 1
GO:0032178	342	0 1
GO:0036457	343	0 1
GO:0044298	344	0 1
GO:0097562	345	0 1
GO:0044292	346	0 1
GO:0035749	347	0 1
GO:0046818	348	0 1
GO:0009930	349	0 1
GO:0097423	350	0 1
GO:0097596	351	0 1
GO:0097541	352	0 1
GO:0009532	353	0 1
GO:0030875	354	0 1
GO:0010339	355	0 1
GO:0061845	356	0 1
GO:0043194	357	0 1
GO:0043674	358	0 1
GO:0030018	359	0 1
GO:0097543	360	0 1
GO:1990016	361	0 1
GO:0045171	362	0 1
GO:0000242	363	0 1
GO:0098833	364	0 1
GO:0009419	365	0 1
GO:0097229	366	0 1
GO:0097448	367	0 1
GO:0140511	368	0 1
GO:0070645	369	0 1
GO:0097593	370	0 1
GO:0033101	371	0 1
GO:0001651	372	0 1
GO:0035253	373	0 1
GO:0048217	374	0 1
GO:0043676	375	0 1
GO:0009524	376	0 1
GO:0055120	377	0 1
GO:0001650	378	0 1
GO:0090543	379	0 1
GO:0001891	380	0 1
GO:0090651	381	0 1
GO:0005930	382	0 1
GO:0043188	383	0 1
GO:0090642	384	0 1
GO:0120106	385	0 1
GO:0071808	386	0 1
GO:0045177	387	0 1
GO:0019898	388	0 1
GO:0005654	389	0 1
GO:0043680	390	0 1
GO:1990718	391	0 1
GO:0031974	392	0 1
GO:0042641	393	0 1
GO:0031254	394	0 1
GO:0043218	395	0 1
GO:0099080	396	0 1
GO:0097613	397	0 1
GO:1990018	398	0 1
GO:0043668	399	0 1
GO:1990752	400	0 1
GO:0019037	401	0 1
GO:0009421	402	0 1
GO:0048225	403	0 1
GO:0061830	404	0 1
GO:0002177	405	0 1
GO:0005631	406	0 1
GO:0120260	407	0 1
GO:0060109	408	0 1
GO:0048222	409	0 1
GO:0097568	410	0 1
GO:0043672	411	0 1
GO:0043265	412	0 1
GO:0044280	413	0 1
GO:0009420	414	0 1
GO:1990038	415	0 1
GO:0030428	416	0 1
GO:0120321	417	0 1
GO:0000785	418	0 1
GO:0035183	419	0 1
GO:0099086	420	0 1
GO:0061908	421	0 1
GO:0043203	422	0 1
GO:0030478	423	0 1
GO:0009422	424	0 1
GO:0030486	425	0 1
GO:0097574	426	0 1
GO:0044297	427	0 1
GO:0090734	428	0 1
GO:0043245	429	0 1
GO:0097537	430	0 2
GO:0008540	431	0 2
GO:1990957	432	0 2
GO:0016272	433	0 2
GO:0072379	434	0 2
GO:1990706	435	0 2
GO:0036501	436	0 2
GO:1990666	437	0 2
GO:0034464	438	0 2
GO:0062073	439	0 2
GO:1990660	440	0 2
GO:0000417	441	0 2
GO:0098561	442	0 2
GO:0032311	443	0 2
GO:1990351	444	0 2
GO:0036286	445	0 2
GO:0044697	446	0 2
GO:0000808	447	0 2
GO:0098636	448	0 2
GO:0039658	449	0 2
GO:1990315	450	0 2
GO:0002199	451	0 2
GO:0043293	452	0 2
GO:0005885	453	0 2
GO:0030991	454	0 2
GO:0045298	455	0 2
GO:0008290	456	0 2
GO:1990586	457	0 2
GO:0071203	458	0 2
GO:0106093	459	0 2
GO:0019814	460	0 2
GO:0005616	461	0 2
GO:0030082	462	0 2
GO:1990909	463	0 2
GO:0098820	464	0 2
GO:0046798	465	0 2
GO:0044815	466	0 2
GO:0002133	467	0 2
GO:0019773	468	0 2
GO:0120228	469	0 2
GO:0019774	470	0 2
GO:1990125	471	0 2
GO:0097710	472	0 2
GO:0061927	473	0 2
GO:0062048	474	0 2
GO:0030990	475	0 2
GO:1904090	476	0 2
GO:0034749	477	0 2
GO:0031941	478	0 2
GO:1990730	479	0 2
GO:1990527	480	0 2
GO:0061696	481	0 2
GO:0034973	482	0 2
GO:1990200	483	0 2
GO:0097196	484	0 2
GO:0032993	485	0 2
GO:0034750	486	0 2
GO:1990346	487	0 2
GO:0002167	488	0 2
GO:1990062	489	0 2
GO:1990661	490	0 2
GO:0043235	491	0 2
GO:0150005	492	0 2
GO:0005663	493	0 2
GO:1990499	494	0 2
GO:0061574	495	0 2
GO:0043511	496	0 2
GO:1990298	497	0 2
GO:1903502	498	0 2
GO:1990871	499	0 2
GO:0005862	500	0 2
GO:0031262	501	0 2
GO:0016281	502	0 2
GO:0097058	503	0 2
GO:0120124	504	0 2
GO:0034044	505	0 2
GO:1990341	506	0 2
GO:0043493	507	0 2
GO:0062049	508	0 2
GO:0005875	509	0 2
GO:0005577	510	0 2
GO:1990423	511	0 2
GO:0090443	512	0 2
GO:0000930	513	0 2
GO:0031680	514	0 2
GO:0036284	515	0 2
GO:0008541	516	0 2
GO:0005831	517	0 2
GO:0002929	518	0 2
GO:0097078	519	0 2
GO:0110157	520	0 2
GO:0032992	521	0 2
GO:0097255	522	0 2
GO:0019035	523	0 2
GO:0110142	524	0 2
GO:0034996	525	0 2
GO:0070744	526	0 2
GO:1990696	527	0 2
GO:0071563	528	0 2
GO:1990112	529	0 2
GO:0005853	530	0 2
GO:1902494	531	0 2
GO:1990665	532	0 2
GO:0031105	533	0 2
GO:0140513	534	0 2
GO:0031209	535	0 2
GO:0097071	536	0 2
GO:0070743	537	0 2
GO:0061702	538	0 2
GO:1990745	539	0 2
GO:0005581	540	0 2
GO:0106002	541	0 2
GO:0034518	542	0 2
GO:0043291	543	0 2
GO:1990684	544	0 2
GO:0097057	545	0 2
GO:0001535	546	0 2
GO:0033551	547	0 2
GO:0098796	548	0 2
GO:0106003	549	0 2
GO:0035658	550	0 2
GO:0035693	551	0 2
GO:0097059	552	0 2
GO:0002142	553	0 2
GO:0034270	554	0 2
GO:1902695	555	0 2
GO:0022624	556	0 2
GO:0035649	557	0 2
GO:0008537	558	0 2
GO:0000444	559	0 2
GO:0043850	560	0 2
GO:1990861	561	0 2
GO:0097344	562	0 2
GO:0038045	563	0 2
GO:0140535	564	0 2
GO:0036375	565	0 2
GO:0043256	566	0 2
GO:0031251	567	0 2
GO:0046806	568	0 2
GO:1990964	569	0 2
GO:0043684	570	0 2
GO:0070695	571	0 2
GO:0030081	572	0 2
GO:0030076	573	0 2
GO:0033193	574	0 2
GO:0098733	575	0 2
GO:0000133	576	0 2
GO:0044777	577	0 2
GO:1990528	578	0 2
GO:0022623	579	0 2
GO:0110131	580	0 2
GO:0005667	581	0 2
GO:1990788	582	0 2
GO:0005838	583	0 2
GO:0120171	584	0 2
GO:0070864	585	0 2
GO:0005852	586	0 2
GO:1990393	587	0 2
GO:0097136	588	0 2
GO:0044816	589	0 2
GO:1903503	590	0 2
GO:0005861	591	0 2
GO:0001534	592	0 2
GO:1990100	593	0 2
GO:0140224	594	0 2
GO:1905742	595	0 2
GO:0055087	596	0 2
GO:0090665	597	0 2
GO:0099126	598	0 2
GO:0061703	599	0 2
GO:0070826	600	0 2
GO:0070745	601	0 2
GO:0140007	602	0 2
GO:0070288	603	0 2
GO:1990615	604	0 2
GO:0061957	605	0 2
GO:0032300	606	0 2
GO:0120114	607	0 2
GO:0019036	608	0 2
GO:0033596	609	0 2
GO:0106249	610	0 2
GO:1990526	611	0 2
GO:0031074	612	0 2
GO:0000408	613	0 2
GO:0140534	614	0 2
GO:0002096	615	0 2
GO:0098046	616	0 2
