Term	Index	Depth
GO:0034973	482	2
GO:1990200	483	2
GO:0097196	484	2
GO:0032993	485	2
GO:0034750	486	2
GO:1990346	487	2
GO:0002167	488	2
GO:1990062	489	2
GO:1990661	490	2
GO:0043235	491	2
GO:0150005	492	2
GO:0005663	493	2
GO:1990499	494	2
GO:0061574	495	2
GO:0043511	496	2
GO:1990298	497	2
GO:1903502	498	2
GO:1990871	499	2
GO:0005862	500	2
GO:0031262	501	2
GO:0016281	502	2
GO:0097058	503	2
GO:0120124	504	2
GO:0034044	505	2
GO:1990341	506	2
GO:0043493	507	2
GO:0062049	508	2
GO:0005875	509	2
GO:0005577	510	2
GO:1990423	511	2
GO:0090443	512	2
GO:0000930	513	2
GO:0031680	514	2
GO:0036284	515	2
GO:0008541	516	2
GO:0005831	517	2
GO:0002929	518	2
GO:0097078	519	2
GO:0110157	520	2
GO:0032992	521	2
GO:0097255	522	2
GO:0019035	523	2
GO:0110142	524	2
GO:0034996	525	2
GO:0070744	526	2
GO:1990696	527	2
GO:0071563	528	2
GO:1990112	529	2
GO:0005853	530	2
GO:1902494	531	2
GO:1990665	532	2
GO:0031105	533	2
GO:0140513	534	2
GO:0031209	535	2
GO:0097071	536	2
GO:0070743	537	2
GO:0061702	538	2
GO:1990745	539	2
GO:0005581	540	2
GO:0106002	541	2
GO:0034518	542	2
GO:0043291	543	2
GO:1990684	544	2
GO:0097057	545	2
GO:0001535	546	2
GO:0033551	547	2
GO:0098796	548	2
GO:0106003	549	2
GO:0035658	550	2
GO:0035693	551	2
GO:0097059	552	2
GO:0002142	553	2
GO:0034270	554	2
GO:1902695	555	2
GO:0022624	556	2
GO:0035649	557	2
GO:0008537	558	2
GO:0000444	559	2
GO:0043850	560	2
GO:1990861	561	2
GO:0097344	562	2
GO:0038045	563	2
GO:0140535	564	2
GO:0036375	565	2
GO:0043256	566	2
GO:0031251	567	2
GO:0046806	568	2
GO:1990964	569	2
GO:0043684	570	2
GO:0070695	571	2
GO:0030081	572	2
GO:0030076	573	2
GO:0033193	574	2
GO:0098733	575	2
GO:0000133	576	2
GO:0044777	577	2
GO:1990528	578	2
GO:0022623	579	2
GO:0110131	580	2
GO:0005667	581	2
GO:1990788	582	2
GO:0005838	583	2
GO:0120171	584	2
GO:0070864	585	2
GO:0005852	586	2
GO:1990393	587	2
GO:0097136	588	2
GO:0044816	589	2
GO:1903503	590	2
GO:0005861	591	2
GO:0001534	592	2
GO:1990100	593	2
GO:0140224	594	2
GO:1905742	595	2
GO:0055087	596	2
GO:0090665	597	2
GO:0099126	598	2
GO:0061703	599	2
GO:0070826	600	2
GO:0070745	601	2
GO:0140007	602	2
GO:0070288	603	2
GO:1990615	604	2
GO:0061957	605	2
GO:0032300	606	2
GO:0120114	607	2
GO:0019036	608	2
GO:0033596	609	2
GO:0106249	610	2
GO:1990526	611	2
GO:0031074	612	2
GO:0000408	613	2
GO:0140534	614	2
GO:0002096	615	2
GO:0098046	616	2
GO:0032994	617	2
GO:0031389	618	2
GO:0097452	619	2
GO:0098798	620	2
GO:0017102	621	2
GO:0036038	622	2
GO:0120099	623	2
GO:1990682	624	2
GO:0031511	625	2
GO:0033104	626	2
GO:0099023	627	2
GO:0034748	628	2
GO:0097347	629	2
GO:0031838	630	2
GO:0005931	631	2
GO:1990104	632	2
GO:0071141	633	2
GO:1990078	634	2
GO:0097495	635	2
GO:1990811	636	2
GO:0140451	637	2
GO:1990597	638	2
GO:0070422	639	2
GO:0062167	640	2
GO:1990667	641	2
GO:0001536	642	2
GO:0061700	643	2
GO:0005602	644	2
GO:0110078	645	2
GO:0036452	646	2
GO:0031521	647	2
GO:0036398	648	2
GO:0030257	649	2
GO:1990130	650	2
GO:0005854	651	2
GO:1990904	652	2
GO:0071817	653	2
GO:1990463	654	2
GO:0097619	655	2
GO:0120216	656	2
GO:1990229	657	2
GO:0005851	658	2
GO:0062092	659	2
GO:1990727	660	2
GO:1990563	661	2
GO:0030314	662	2
GO:1990509	663	2
GO:0035859	664	2
GO:0048180	665	2
GO:1990630	666	2
GO:1990923	667	2
GO:0016459	668	2
GO:0015627	669	2
GO:0005833	670	2
GO:0032766	671	2
GO:0000940	672	2
GO:0031395	673	2
GO:0030080	674	2
GO:0038059	675	2
GO:0097373	676	2
GO:0120155	677	2
GO:0043514	678	2
GO:1990252	679	2
GO:1990728	680	2
GO:0042555	681	2
GO:0000939	682	2
GO:0005850	683	2
GO:0070441	684	2
GO:0018444	685	2
GO:1990065	686	2
GO:0030993	687	2
GO:0036454	688	2
GO:0000974	689	2
GO:0001114	690	2
GO:0106333	691	2
GO:0008091	692	2
GO:1990533	693	2
GO:0030256	694	2
GO:0033186	695	2
GO:0030992	696	2
GO:0002193	697	2
GO:0071075	698	2
GO:0033061	699	2
GO:1990733	700	2
GO:0098030	701	2
GO:0098021	702	2
GO:0098027	703	2
GO:0019028	704	2
GO:0098031	705	2
GO:0098026	706	2
GO:0039626	707	2
GO:0055036	708	2
GO:0036338	709	2
GO:0046729	710	2
GO:0098029	711	2
GO:0019033	712	2
GO:0098023	713	2
GO:0098024	714	2
GO:0098028	715	2
GO:0098025	716	2
GO:0098061	717	2
GO:0019013	718	2
GO:0039625	719	2
GO:0039642	720	2
GO:0039624	721	2
GO:0098015	722	2
GO:0046727	723	2
GO:0099522	724	3
GO:0043229	725	3
GO:0043228	726	3
GO:0043227	727	3
GO:0099572	728	3
GO:0043230	729	3
GO:1990385	730	3
GO:1990023	731	3
GO:0044100	732	3
GO:0016234	733	3
GO:0046821	734	3
GO:0070725	735	3
GO:0009579	736	3
GO:0070090	737	3
GO:0005727	738	3
GO:0070477	739	3
GO:0097686	740	3
GO:1990723	741	3
GO:1990020	742	3
GO:1990021	743	3
GO:1990901	744	3
GO:1990902	745	3
GO:0044225	746	3
GO:0051286	747	3
GO:0090712	748	3
GO:0044226	749	3
GO:0005863	750	3
GO:0005865	751	3
GO:0035363	752	3
GO:0015030	753	3
GO:0016605	754	3
GO:0016607	755	3
GO:0042382	756	3
GO:0010445	757	3
GO:0071920	758	3
GO:0097504	759	3
GO:0035061	760	3
GO:1990251	761	3
GO:0016606	762	3
GO:0071601	763	3
GO:0005826	764	3
GO:0032589	765	3
GO:0032587	766	3
GO:0031258	767	3
GO:0097453	768	3
GO:0097219	769	3
GO:0097220	770	3
GO:0097431	771	3
GO:0090619	772	3
GO:0072563	773	3
GO:0031259	774	3
GO:0098595	775	3
GO:0099544	776	3
GO:0043083	777	3
GO:0048046	778	3
GO:0061496	779	3
GO:0099568	780	3
GO:0045495	781	3
GO:1990917	782	3
GO:0005938	783	3
GO:0016528	784	3
GO:0043596	785	3
GO:0043597	786	3
GO:0036391	787	3
GO:0032174	788	3
GO:0000144	789	3
GO:0032177	790	3
GO:0032169	791	3
GO:0062199	792	3
GO:0000775	793	3
GO:0005704	794	3
GO:0005703	795	3
GO:0000781	796	3
GO:0005705	797	3
GO:0034507	798	3
GO:0034506	799	3
GO:0031978	800	3
GO:0031979	801	3
GO:0070117	802	3
GO:0005715	803	3
GO:0005714	804	3
GO:0061498	805	3
GO:0032391	806	3
GO:0061497	807	3
GO:0030313	808	3
GO:0031967	809	3
GO:0002140	810	3
GO:0002141	811	3
GO:0035838	812	3
GO:0030426	813	3
GO:0005935	814	3
GO:0043332	815	3
GO:0001411	816	3
GO:0005934	817	3
GO:0043667	818	3
GO:0031012	819	3
GO:0005618	820	3
GO:0030115	821	3
GO:0030112	822	3
GO:0042600	823	3
GO:0106139	824	3
GO:0044218	825	3
GO:0034430	826	3
GO:0033105	827	3
GO:0061499	828	3
GO:0061493	829	3
GO:0070470	830	3
GO:0005746	831	3
GO:0043657	832	3
GO:0033643	833	3
GO:0043655	834	3
GO:0099070	835	3
GO:1905720	836	3
GO:0099071	837	3
GO:1901589	838	3
GO:1990039	839	3
GO:0016029	840	3
GO:0097685	841	3
GO:0097612	842	3
GO:0097611	843	3
GO:0009897	844	3
GO:0098562	845	3
GO:0098569	846	3
GO:0098572	847	3
GO:0098571	848	3
GO:0031241	849	3
GO:0098570	850	3
GO:0098576	851	3
GO:0031240	852	3
GO:0043590	853	3
GO:0042646	854	3
GO:0042645	855	3
GO:0043679	856	3
GO:0097518	857	3
GO:0031003	858	3
GO:0097517	859	3
GO:0031002	860	3
GO:0032421	861	3
GO:0005903	862	3
GO:0036240	863	3
GO:0030287	864	3
GO:0030288	865	3
GO:0031230	866	3
GO:0016021	867	3
GO:0031300	868	3
GO:0031225	869	3
GO:0031226	870	3
GO:0097633	871	3
GO:0031360	872	3
GO:0098791	873	3
GO:0032046	874	3
GO:0031976	875	3
GO:0098827	876	3
GO:0043195	877	3
GO:0042764	878	3
GO:0042601	879	3
GO:0097424	880	3
GO:0005731	881	3
GO:0120025	882	3
GO:0009289	883	3
GO:0090395	884	3
GO:0009288	885	3
GO:0097589	886	3
GO:0085035	887	3
GO:0120200	888	3
GO:0120199	889	3
GO:0032163	890	3
GO:0032162	891	3
GO:1990435	892	3
GO:1990434	893	3
GO:0097687	894	3
GO:0070702	895	3
GO:0070703	896	3
GO:0031090	897	3
GO:0140549	898	3
GO:0042175	899	3
GO:0034357	900	3
GO:0005886	901	3
GO:0036362	902	3
GO:0005628	903	3
GO:0048475	904	3
GO:0005642	905	3
