Term	Index
GO:0009374	554
GO:0035374	555
GO:0030977	556
GO:0043295	557
GO:0030975	558
GO:0043924	559
GO:2001147	560
GO:0008201	561
GO:0035373	562
GO:0036173	563
GO:0030976	564
GO:0016596	565
GO:1902485	566
GO:0120227	567
GO:0035730	568
GO:1904047	569
GO:0043395	570
GO:0050656	571
GO:0008658	572
GO:0036127	573
GO:0019809	574
GO:0019810	575
GO:0120274	576
GO:0001618	577
GO:0043168	578
GO:0043169	579
GO:0097244	580
GO:0097245	581
GO:0097247	582
GO:0005528	583
GO:0010013	584
GO:0031177	585
GO:0051870	586
GO:0042277	587
GO:0005542	588
GO:0097001	589
GO:1901602	590
GO:1904408	591
GO:0001786	592
GO:0051871	593
GO:0072544	594
GO:0051536	595
GO:1901707	596
GO:0140090	597
GO:0071723	598
GO:0019992	599
GO:0005504	600
GO:0005496	601
GO:0046625	602
GO:0019840	603
GO:0005543	604
GO:0030882	605
GO:1901567	606
GO:0017129	607
GO:0030247	608
GO:0120153	609
GO:0070492	610
GO:0031626	611
GO:0042166	612
GO:0070968	613
GO:0048039	614
GO:0071886	615
GO:0051378	616
GO:0008145	617
GO:0051381	618
GO:0120284	619
GO:0046906	620
GO:0033295	621
GO:1901265	622
GO:0033294	623
GO:1902444	624
GO:1901973	625
GO:0050809	626
GO:0019811	627
GO:0008431	628
GO:0070279	629
GO:0043546	630
GO:0031418	631
GO:0034617	632
GO:0003676	633
GO:0005527	634
GO:0035274	635
GO:1901149	636
GO:1902314	637
GO:0035273	638
GO:0097160	639
GO:0035923	640
GO:1901338	641
GO:0072545	642
GO:1905594	643
GO:0035275	644
GO:0044620	645
GO:0031210	646
GO:0042605	647
GO:0060001	648
GO:0060002	649
GO:0003678	650
GO:0033677	651
GO:0003724	652
GO:0015616	653
GO:0061775	654
GO:0003918	655
GO:0140664	656
GO:0140083	657
GO:0061860	658
GO:0003689	659
GO:0120328	660
GO:0140658	661
GO:0008569	662
GO:0008574	663
GO:0140359	664
GO:0034040	665
GO:0033225	666
GO:1901514	667
GO:0033221	668
GO:0015446	669
GO:0019829	670
GO:0033283	671
GO:0043225	672
