Term	Index	Ancestors
GO:0106138	366	0 6 59
GO:0140496	367	0 6 59
GO:0035650	368	0 6 59
GO:1905761	369	0 6 59
GO:0106140	370	0 6 59
GO:0019215	371	0 6 59
GO:0005178	372	0 6 59 61 442 477
GO:0035651	373	0 6 59
GO:0062078	374	0 6 59
GO:0001096	375	0 6 59 61 439 471 1271 1488 3258
GO:0106080	376	0 6 59
GO:0140164	377	0 6 59
GO:0051015	378	0 6 59 61 499 1514
GO:0001094	379	0 6 59 61 439 471 1271 1488 3258
GO:0034988	380	0 6 59 61 442 1302
GO:0062062	381	0 6 59
GO:0001095	382	0 6 59 61 439 471 1271 1488 3258
GO:0120170	383	0 6 59
GO:0043021	384	0 6 59
GO:1905334	385	0 6 59
GO:0062068	386	0 6 59
GO:0034710	387	0 6 59
GO:0062060	388	0 6 59
GO:0010997	389	0 6 59
GO:0062066	390	0 6 59
GO:0048185	391	0 6 59
GO:0062069	392	0 6 59
GO:0019865	393	0 6 59
GO:0070051	394	0 6 59
GO:0001097	395	0 6 59 61 439 471 1271 1488 3258
GO:0106137	396	0 6 59
GO:0032795	397	0 6 59
GO:0036033	398	0 6 59
GO:0140262	399	0 6 59
GO:0062061	400	0 6 59
GO:0071814	401	0 6 59
GO:0036461	402	0 6 59
GO:0120160	403	0 6 59
GO:1904841	404	0 6 59
GO:0001849	405	0 6 59 61 473 507
GO:0005518	406	0 6 59
GO:0120325	407	0 6 59
GO:0062070	408	0 6 59
GO:0030507	409	0 6 59 61 499
GO:0005132	410	0 6 59 61 442 1317
GO:1905762	411	0 6 59
GO:0140260	412	0 6 59
GO:0070840	413	0 6 59
GO:0031683	414	0 6 59
GO:0098633	415	0 6 59
GO:0140259	416	0 6 59
GO:1904855	417	0 6 59
GO:0042608	418	0 6 59 61 442
GO:1905763	419	0 6 59
GO:0062067	420	0 6 59
GO:0023023	421	0 6 59
GO:1990593	422	0 6 59
GO:0062059	423	0 6 59
GO:0062063	424	0 6 59
GO:0070628	425	0 6 59
GO:1904288	426	0 6 59
GO:0071933	427	0 6 59
GO:0051740	428	0 6 60
GO:0045504	429	0 6 61
GO:0097371	430	0 6 61
GO:0034189	431	0 6 59 61 401 1264
GO:0043559	432	0 6 61 68 78 543 587
GO:0010313	433	0 6 61
GO:0031249	434	0 6 61
GO:0008267	435	0 6 61
GO:0034185	436	0 6 61
GO:1990763	437	0 6 61
GO:0005521	438	0 6 61
GO:0001098	439	0 6 61
GO:0046983	440	0 6 61
GO:0030332	441	0 6 61
GO:0005102	442	0 6 61
GO:0071889	443	0 6 61
GO:0005522	444	0 6 61
GO:0042802	445	0 6 61
GO:0002162	446	0 6 61
GO:0031720	447	0 6 61
GO:0051087	448	0 6 61
GO:0140030	449	0 6 61
GO:0019955	450	0 6 61
GO:0042393	451	0 6 61
GO:0061676	452	0 6 61
GO:0030742	453	0 6 61
GO:0070678	454	0 6 61
GO:0097108	455	0 6 61
GO:0097678	456	0 6 61
GO:0031682	457	0 6 61
GO:0019904	458	0 6 61
GO:0043008	459	0 6 61
GO:0048306	460	0 6 61
GO:0030276	461	0 6 61
GO:0002046	462	0 6 61
GO:0019899	463	0 6 61
GO:0019838	464	0 6 61
GO:0045294	465	0 6 61
GO:0008013	466	0 6 61
GO:0061770	467	0 6 61
GO:0008022	468	0 6 61
