Term	Index	Depth
GO:0002747	506	3
GO:0019883	507	3
GO:0019884	508	3
GO:0048002	509	3
GO:0031295	510	3
GO:0031296	511	3
GO:0035163	512	3
GO:0035168	513	3
GO:0042387	514	3
GO:0042688	515	3
GO:0043366	516	3
GO:0043368	517	3
GO:0043383	518	3
GO:0045061	519	3
GO:0045062	520	3
GO:0002269	521	3
GO:0002270	522	3
GO:0002274	523	3
GO:0002366	524	3
GO:0046649	525	3
GO:0050902	526	3
GO:0002523	527	3
GO:0030595	528	3
GO:0045123	529	3
GO:0050904	530	3
GO:0071674	531	3
GO:0097529	532	3
GO:0090714	533	3
GO:0090715	534	3
GO:0090716	535	3
GO:0006116	536	3
GO:0006735	537	3
GO:0019661	538	3
GO:0061722	539	3
GO:0006653	540	3
GO:0008291	541	3
GO:0018887	542	3
GO:0018916	543	3
GO:0018937	544	3
GO:0018952	545	3
GO:0018954	546	3
GO:0018960	547	3
GO:0019326	548	3
GO:0019329	549	3
GO:0019330	550	3
GO:0019666	551	3
GO:0034641	552	3
GO:0044597	553	3
GO:0044598	554	3
GO:0071941	555	3
GO:0097164	556	3
GO:1901119	557	3
GO:1901150	558	3
GO:1901564	559	3
GO:1901742	560	3
GO:1902061	561	3
GO:2001057	562	3
GO:0019608	563	3
GO:0030574	564	3
GO:0042447	565	3
GO:0044248	566	3
GO:0044282	567	3
GO:0051190	568	3
GO:0090487	569	3
GO:0120248	570	3
GO:0120256	571	3
GO:1901276	572	3
GO:1901287	573	3
GO:1901575	574	3
GO:1901765	575	3
GO:1901903	576	3
GO:0002927	577	3
GO:0008612	578	3
GO:0032964	579	3
GO:0042179	580	3
GO:0042446	581	3
GO:0044249	582	3
GO:0044283	583	3
GO:0044550	584	3
GO:0051191	585	3
GO:0051559	586	3
GO:0120247	587	3
GO:0120255	588	3
GO:1901277	589	3
GO:1901288	590	3
GO:1901576	591	3
GO:1901766	592	3
GO:1901904	593	3
GO:1902422	594	3
GO:1903409	595	3
GO:0017000	596	3
GO:0017001	597	3
GO:0030650	598	3
GO:0030653	599	3
GO:0033067	600	3
GO:0033069	601	3
GO:0043637	602	3
GO:0043641	603	3
GO:0043643	604	3
GO:0046584	605	3
GO:0006582	606	3
GO:0009237	607	3
GO:0009404	608	3
GO:0009698	609	3
GO:0018940	610	3
GO:0019757	611	3
GO:0030638	612	3
GO:0035836	613	3
GO:0036182	614	3
GO:0042316	615	3
GO:0042341	616	3
GO:0042810	617	3
GO:0046158	618	3
GO:0046937	619	3
GO:1900539	620	3
GO:1900549	621	3
GO:1900555	622	3
GO:1900561	623	3
GO:1900570	624	3
GO:1900573	625	3
GO:1900576	626	3
GO:1900579	627	3
GO:1900582	628	3
GO:1900585	629	3
GO:1900588	630	3
GO:1900591	631	3
GO:1900594	632	3
GO:1900597	633	3
GO:1900600	634	3
GO:1900603	635	3
GO:1900606	636	3
GO:1900764	637	3
GO:1900791	638	3
GO:1900797	639	3
GO:1900800	640	3
GO:1900810	641	3
GO:1900813	642	3
GO:1900816	643	3
GO:1900819	644	3
GO:1902086	645	3
GO:0043414	646	3
GO:0042168	647	3
GO:0043474	648	3
GO:0046148	649	3
GO:0046149	650	3
GO:0046283	651	3
GO:0051550	652	3
GO:0051552	653	3
GO:0051558	654	3
GO:0009850	655	3
GO:0016131	656	3
GO:0016486	657	3
GO:0034754	658	3
GO:0042403	659	3
GO:0001887	660	3
GO:0006081	661	3
GO:0006082	662	3
GO:0006091	663	3
GO:0006413	664	3
GO:0006575	665	3
GO:0006725	666	3
GO:0006730	667	3
GO:0006790	668	3
GO:0006793	669	3
GO:0006805	670	3
GO:0008218	671	3
GO:0010191	672	3
GO:0015979	673	3
GO:0018942	674	3
GO:0042133	675	3
GO:0042180	676	3
GO:0043094	677	3
GO:0043446	678	3
GO:0043449	679	3
GO:0043452	680	3
GO:0044107	681	3
GO:0044255	682	3
GO:0044260	683	3
GO:0044262	684	3
GO:0046483	685	3
GO:0046950	686	3
GO:0062097	687	3
GO:0072592	688	3
GO:0072593	689	3
GO:0090345	690	3
GO:0090398	691	3
GO:0090399	692	3
GO:0097354	693	3
GO:0110051	694	3
GO:2001290	695	3
GO:0005975	696	3
GO:0006099	697	3
GO:0006139	698	3
GO:0006520	699	3
GO:0006629	700	3
GO:0019538	701	3
GO:0005996	702	3
GO:0006066	703	3
GO:0006766	704	3
GO:0009255	705	3
GO:0018893	706	3
GO:0018894	707	3
GO:0018904	708	3
GO:0019627	709	3
GO:0046292	710	3
GO:0046415	711	3
GO:0046454	712	3
GO:0055086	713	3
GO:0070276	714	3
GO:0072338	715	3
GO:0043545	716	3
GO:0070503	717	3
GO:0030259	718	3
GO:0036065	719	3
GO:0043413	720	3
GO:0097502	721	3
GO:0006482	722	3
GO:0070989	723	3
GO:0080111	724	3
GO:0009812	725	3
GO:0015977	726	3
GO:0018907	727	3
GO:0018938	728	3
GO:0018945	729	3
GO:0018984	730	3
GO:0019499	731	3
GO:0019637	732	3
GO:0019694	733	3
GO:0019695	734	3
GO:0035383	735	3
GO:0042197	736	3
GO:0042620	737	3
GO:0043170	738	3
GO:0046500	739	3
GO:0120246	740	3
GO:0120252	741	3
GO:0120254	742	3
GO:1900558	743	3
GO:1900619	744	3
GO:1901122	745	3
GO:1901125	746	3
GO:1901135	747	3
GO:1901360	748	3
GO:1901440	749	3
GO:1901615	750	3
GO:1990491	751	3
GO:0002024	752	3
GO:0106106	753	3
GO:0002266	754	3
GO:0007407	755	3
GO:0014719	756	3
GO:0030168	757	3
GO:0032980	758	3
GO:0042118	759	3
GO:0044566	760	3
GO:0061900	761	3
GO:0071892	762	3
GO:0072537	763	3
GO:0001909	764	3
GO:0097278	765	3
GO:0030541	766	3
GO:0060908	767	3
GO:0006458	768	3
GO:0007023	769	3
GO:0022417	770	3
GO:0034975	771	3
GO:0042026	772	3
GO:0061077	773	3
GO:0016080	774	3
GO:0045479	775	3
GO:0048199	776	3
GO:0048201	777	3
GO:0140025	778	3
GO:0000768	779	3
GO:0000769	780	3
GO:0000226	781	3
GO:0007018	782	3
GO:0008103	783	3
GO:0031023	784	3
GO:0032121	785	3
GO:0051231	786	3
GO:0051255	787	3
GO:0060152	788	3
GO:0099118	789	3
GO:0000278	790	3
GO:0098813	791	3
GO:0000756	792	3
GO:0007412	793	3
GO:0010643	794	3
GO:0010644	795	3
GO:0031668	796	3
GO:0060883	797	3
GO:0086065	798	3
GO:0003392	799	3
GO:0031589	800	3
GO:0033627	801	3
GO:0061343	802	3
GO:0098609	803	3
GO:0120078	804	3
GO:0016332	805	3
GO:0016334	806	3
GO:0016336	807	3
GO:0030010	808	3
GO:0030011	809	3
GO:0030952	810	3
GO:0042067	811	3
GO:0045196	812	3
GO:0061245	813	3
GO:0061339	814	3
GO:0071963	815	3
GO:0001402	816	3
GO:0002764	817	3
GO:0006984	818	3
GO:0007166	819	3
GO:0007186	820	3
GO:0007210	821	3
GO:0007212	822	3
GO:0007602	823	3
GO:0009755	824	3
GO:0009756	825	3
GO:0009863	826	3
GO:0010017	827	3
GO:0010019	828	3
GO:0010850	829	3
GO:0023019	830	3
GO:0023041	831	3
GO:0030522	832	3
GO:0030968	833	3
GO:0031930	834	3
GO:0032005	835	3
GO:0035556	836	3
GO:0038034	837	3
GO:0038183	838	3
GO:0055095	839	3
GO:0060395	840	3
GO:0060863	841	3
GO:0071588	842	3
GO:0090520	843	3
GO:0097190	844	3
GO:0097411	845	3
GO:0097527	846	3
GO:0098926	847	3
GO:0098928	848	3
GO:0099004	849	3
GO:0106167	850	3
GO:0140507	851	3
GO:0140626	852	3
GO:1903831	853	3
GO:1990806	854	3
GO:0008366	855	3
GO:0032295	856	3
GO:0006910	857	3
GO:0008038	858	3
GO:0009988	859	3
GO:0009989	860	3
GO:0048544	861	3
GO:0012501	862	3
GO:0036473	863	3
GO:0070265	864	3
GO:0070997	865	3
GO:0001833	866	3
GO:0001834	867	3
GO:0002174	868	3
GO:0003419	869	3
GO:0010463	870	3
GO:0014009	871	3
GO:0033002	872	3
GO:0033687	873	3
GO:0035726	874	3
GO:0035736	875	3
GO:0035988	876	3
GO:0036093	877	3
GO:0048134	878	3
GO:0048144	879	3
GO:0050673	880	3
GO:0051450	881	3
GO:0060722	882	3
GO:0061323	883	3
GO:0061351	884	3
GO:0070341	885	3
GO:0070661	886	3
GO:0071335	887	3
GO:0071838	888	3
GO:0072089	889	3
GO:0072111	890	3
GO:0090255	891	3
GO:0097360	892	3
GO:0160024	893	3
GO:1990654	894	3
GO:2000793	895	3
GO:0009291	896	3
GO:0009293	897	3
GO:0009294	898	3
GO:0090332	899	3
GO:1990069	900	3
GO:0010497	901	3
GO:0110077	902	3
GO:1990349	903	3
GO:0016038	904	3
GO:0016039	905	3
GO:0007124	906	3
GO:0009825	907	3
GO:0009826	908	3
GO:0048588	909	3
GO:0051210	910	3
GO:0051211	911	3
GO:0006884	912	3
GO:0006973	913	3
GO:0010992	914	3
GO:0045454	915	3
GO:0046716	916	3
GO:0055082	917	3
GO:0070050	918	3
GO:0051715	919	3
GO:0000320	920	3
GO:0000910	921	3
GO:0000913	922	3
GO:0000919	923	3
GO:0007051	924	3
GO:0007062	925	3
GO:0007098	926	3
GO:0007099	927	3
GO:0007348	928	3
GO:0008608	929	3
GO:0010457	930	3
GO:0030037	931	3
GO:0032201	932	3
GO:0032506	933	3
GO:0034085	934	3
GO:0034086	935	3
GO:0034510	936	3
GO:0034631	937	3
GO:0044770	938	3
GO:0044786	939	3
GO:0044837	940	3
GO:0045023	941	3
GO:0051298	942	3
GO:0051299	943	3
GO:0051300	944	3
GO:0051304	945	3
GO:0051305	946	3
GO:0051653	947	3
GO:0060184	948	3
GO:0061511	949	3
GO:0070314	950	3
GO:0071163	951	3
GO:0071921	952	3
GO:0071990	953	3
GO:0097240	954	3
GO:0110046	955	3
GO:0110100	956	3
GO:0140274	957	3
GO:0140530	958	3
GO:1902291	959	3
GO:1902292	960	3
GO:1902294	961	3
GO:1902295	962	3
GO:1902296	963	3
GO:1902297	964	3
GO:1902298	965	3
GO:1902299	966	3
GO:1902575	967	3
GO:1903047	968	3
GO:2000689	969	3
GO:2000708	970	3
GO:0022614	971	3
GO:0022615	972	3
GO:0140056	973	3
GO:0001549	974	3
GO:0001555	975	3
GO:0001556	976	3
GO:0001675	977	3
GO:0002078	978	3
GO:0007053	979	3
GO:0007056	980	3
GO:0007060	981	3
GO:0007065	982	3
GO:0007066	983	3
GO:0007112	984	3
GO:0007140	985	3
GO:0007143	986	3
GO:0007277	987	3
GO:0007278	988	3
GO:0007281	989	3
GO:0007282	990	3
GO:0007284	991	3
GO:0007285	992	3
GO:0007287	993	3
GO:0007288	994	3
GO:0007289	995	3
GO:0007290	996	3
GO:0007294	997	3
GO:0007296	998	3
GO:0007297	999	3
GO:0007299	1000	3
GO:0007303	1001	3
GO:0007306	1002	3
GO:0007307	1003	3
GO:0007308	1004	3
GO:0007312	1005	3
