Leaf	Index	Depth
GO:0032197	1071	3
GO:0032198	1072	3
GO:0061818	1075	3
GO:0036167	1076	3
GO:0090677	1077	3
GO:0002330	1081	3
GO:0010440	1083	3
GO:0021806	1085	3
GO:0035047	1089	3
GO:0071998	1095	3
GO:0003411	1097	3
GO:0021805	1099	3
GO:0021814	1100	3
GO:0043107	1101	3
GO:0097230	1105	3
GO:0097231	1106	3
GO:0003423	1107	3
GO:0010481	1109	3
GO:0014872	1110	3
GO:0020014	1112	3
GO:0022015	1114	3
GO:0040016	1115	3
GO:0090510	1118	3
GO:0090511	1119	3
GO:0110069	1121	3
GO:0051666	1123	3
GO:0061915	1125	3
GO:0071166	1128	3
GO:0120290	1129	3
GO:0032119	1130	3
GO:0051208	1133	3
GO:0098545	1137	3
GO:1990659	1138	3
GO:0035852	1139	3
GO:0043503	1141	3
GO:0061646	1142	3
GO:0061862	1143	3
GO:1990394	1148	3
GO:0006855	1149	3
GO:0015897	1152	3
GO:0015905	1153	3
GO:0035378	1157	3
GO:0035382	1158	3
GO:0080162	1169	3
GO:0080170	1170	3
GO:1901477	1175	3
GO:1902418	1179	3
GO:1902616	1180	3
GO:0032258	1185	3
GO:0001502	1192	3
GO:0001927	1194	3
GO:0002552	1195	3
GO:0002553	1196	3
GO:0002554	1197	3
GO:0002555	1198	3
GO:0002556	1199	3
GO:0002557	1200	3
GO:0016082	1202	3
GO:0061789	1203	3
GO:0070560	1204	3
GO:0140028	1207	3
GO:0070458	1210	3
GO:0098849	1211	3
GO:0110052	1213	3
GO:0140114	1215	3
GO:1990880	1216	3
GO:0075713	1217	3
GO:0032359	1219	3
GO:0098676	1225	3
GO:0098932	1226	3
GO:0098995	1227	3
GO:0039708	1228	3
GO:0019074	1231	3
GO:0039704	1236	3
GO:0019084	1237	3
GO:0019085	1238	3
GO:0019086	1239	3
GO:0039695	1240	3
GO:0075511	1244	3
GO:0075514	1245	3
GO:0075502	1246	3
GO:0075504	1247	3
GO:0039702	1248	3
GO:0046760	1249	3
GO:0046761	1250	3
GO:0046762	1251	3
GO:0044694	1253	3
GO:0099001	1257	3
GO:0099002	1258	3
GO:0000753	1259	3
GO:0001541	1260	3
GO:0001547	1261	3
GO:0001552	1262	3
GO:0001880	1263	3
GO:0001893	1264	3
GO:0007279	1265	3
GO:0007283	1266	3
GO:0007291	1267	3
GO:0007293	1268	3
GO:0007295	1269	3
GO:0007506	1271	3
GO:0007540	1273	3
GO:0007541	1274	3
GO:0009860	1278	3
GO:0009942	1279	3
GO:0009960	1280	3
GO:0010071	1281	3
GO:0010072	1282	3
GO:0010198	1284	3
GO:0010214	1285	3
GO:0010227	1286	3
GO:0010228	1287	3
GO:0010234	1288	3
GO:0010254	1289	3
GO:0010431	1290	3
GO:0010450	1291	3
GO:0010451	1292	3
GO:0010480	1293	3
GO:0010582	1294	3
GO:0010622	1295	3
GO:0010654	1296	3
GO:0030381	1297	3
GO:0030476	1298	3
GO:0030713	1301	3
GO:0031321	1302	3
GO:0031382	1303	3
GO:0032120	1304	3
GO:0033327	1305	3
GO:0034294	1307	3
GO:0034304	1308	3
GO:0035234	1310	3
GO:0035263	1312	3
GO:0035848	1314	3
GO:0042243	1315	3
GO:0044850	1316	3
GO:0046697	1319	3
GO:0046843	1320	3
GO:0046844	1321	3
GO:0048317	1325	3
GO:0048439	1328	3
GO:0048457	1331	3
GO:0048458	1332	3
GO:0048459	1333	3
GO:0048460	1334	3
GO:0048461	1335	3
GO:0048479	1336	3
GO:0048480	1337	3
GO:0048481	1338	3
GO:0048482	1339	3
GO:0048530	1341	3
GO:0048601	1343	3
GO:0048653	1345	3
GO:0048655	1346	3
GO:0048656	1347	3
GO:0048657	1348	3
GO:0048658	1349	3
GO:0048700	1350	3
GO:0048826	1351	3
GO:0048868	1353	3
GO:0060008	1354	3
GO:0060010	1356	3
GO:0060512	1357	3
GO:0060515	1358	3
GO:0060521	1359	3
GO:0060524	1360	3
GO:0060525	1361	3
GO:0060530	1362	3
GO:0060672	1363	3
GO:0060741	1367	3
GO:0060743	1369	3
GO:0060744	1370	3
GO:0060745	1371	3
GO:0060748	1372	3
GO:0061038	1373	3
GO:0061108	1374	3
GO:0061205	1375	3
GO:0061682	1376	3
GO:0061683	1377	3
GO:0062248	1378	3
GO:0070788	1379	3
GO:0070789	1380	3
GO:0070790	1381	3
GO:0070792	1382	3
GO:0080060	1383	3
GO:0080086	1384	3
GO:0080126	1385	3
GO:0080127	1386	3
GO:0080128	1387	3
GO:0080187	1388	3
GO:0097736	1390	3
GO:0097738	1391	3
GO:0097751	1392	3
GO:0120317	1393	3
GO:1904600	1394	3
GO:1990058	1395	3
GO:1990059	1396	3
GO:0007118	1397	3
GO:0007119	1398	3
GO:0007338	1400	3
GO:0009567	1401	3
GO:0009677	1402	3
GO:0140301	1403	3
GO:0140302	1404	3
GO:0035043	1405	3
GO:0018991	1407	3
GO:0000755	1409	3
GO:0007533	1410	3
GO:0030437	1411	3
GO:0071515	1412	3
GO:0140084	1413	3
GO:0001542	1414	3
GO:0001543	1415	3
GO:0001544	1416	3
GO:0001546	1418	3
GO:0001550	1420	3
GO:0001551	1421	3
GO:0001553	1422	3
GO:0001554	1423	3
GO:0042702	1424	3
GO:0042704	1425	3
GO:0060112	1426	3
GO:0061363	1427	3
