Term	Index	Ancestors
GO:0071171	261	0 3 4 6 48 58 59 65 552 666 683 685 698 738 748 3440 3491 8433 14912
GO:0071507	262	0 4 6 19 86 410 836 2486 3908
GO:0071835	263	0 4 6 17 19 130 399 412 1208 2439 2506 4842 6560 6568 6573 6574 10275 11649 11676 11719 16731 22619
GO:0080112	264	0 6 10 358
GO:0090220	265	0 6 17 399 401 2442 2443 2450 6591
GO:0097722	266	0 4 6 111
GO:0110134	267	0 6
GO:0140547	268	0 6 8
GO:1903046	269	0 4 6 98
GO:1905261	270	0 6 19 410 2472 2486 2496 6653 6656 6657 6660 6932 7054 11987 13445
GO:1990109	271	0 4 6 88 861
GO:0007267	272	0 4 7 83
GO:0021807	273	0 4 7 83
GO:0021837	274	0 4 7 83
GO:0021838	275	0 4 7 83
GO:0035426	276	0 4 7 83
GO:0035637	277	0 7 8
GO:0001503	278	0 8
GO:0001763	279	0 8 9 340
GO:0001816	280	0 3 8 65 738 3613
GO:0002021	281	0 8 16 384 2320 6245
GO:0002532	282	0 8
GO:0003008	283	0 8
GO:0003053	284	0 8 15 19 380 410 412 2487 2501 6969 13567 20431
GO:0007275	285	0 8 9 351
GO:0007389	286	0 8
GO:0007585	287	0 8
GO:0007586	288	0 8
GO:0007610	289	0 8
GO:0008340	290	0 8
GO:0009561	291	0 8
GO:0009791	292	0 8
GO:0009845	293	0 8
GO:0010022	294	0 8
GO:0010073	295	0 8
GO:0010162	296	0 6 8 9 186 232 344
GO:0016203	297	0 8
GO:0019827	298	0 8 9 356
GO:0022004	299	0 8
GO:0022005	300	0 8
GO:0022404	301	0 8
GO:0022608	302	0 8
GO:0030431	303	0 8
GO:0030588	304	0 8
GO:0031424	305	0 8
GO:0032898	306	0 8
GO:0032922	307	0 8 15 19 380 410 2472 6657 12065
GO:0032941	308	0 8 17 399 2439 6568
GO:0033555	309	0 8 16 383
GO:0034381	310	0 8
GO:0035073	311	0 8
GO:0035074	312	0 8
GO:0035264	313	0 8 10 358
GO:0035265	314	0 8 10 358
GO:0035314	315	0 8
GO:0035889	316	0 8
GO:0042303	317	0 8
GO:0043480	318	0 8 12 16 367 384
GO:0044706	319	0 8
GO:0045056	320	0 8 17 399 2439 6563
GO:0045494	321	0 8
GO:0048647	322	0 8
GO:0048771	323	0 8
GO:0048871	324	0 8 19 412 2517
GO:0050817	325	0 8
GO:0050879	326	0 8
GO:0055046	327	0 8
GO:0055127	328	0 8
GO:0060384	329	0 8
GO:0071684	330	0 8
GO:0071827	331	0 4 8 122 1190 4809 10204
GO:0080189	332	0 8 10
GO:0090130	333	0 8
GO:0090664	334	0 8 16 383
GO:0097167	335	0 8 15 19 380 410 2472 2486 6648 6653 6656 6657 6660 11937 11938 11992 12042 12065 17824 18304 18357
GO:0097207	336	0 8 9 344
GO:0097242	337	0 8
GO:1990110	338	0 8
GO:0007568	339	0 9
GO:0009653	340	0 9
GO:0009838	341	0 9
GO:0010014	342	0 9
GO:0021700	343	0 9
GO:0022611	344	0 9
GO:0030583	345	0 9 16 383 384 2307 2320 6245
GO:0031128	346	0 9
GO:0043696	347	0 9
GO:0043934	348	0 9
