Protein
O75509
Q8WXC3
P09683
A2RU48
O60393
P20774
P06331
P57082
O43187
Q8IYI8
O95199
Q92546
Q9Y250
O14628
Q8IV31
Q16623
Q96AQ1
Q9P2W3
P61956
O15127
Q9Y535
Q96AG4
Q6ZT89
P05386
P17947
P43363
Q00987
Q99932
Q9UNX3
O15126
P49902
Q99525
P47775
P49427
O00522
A8MTJ6
Q9H3M0
P31415
Q9Y4K3
E7ERA6
P28676
Q96EY7
O95631
A1E959
P0DMS8
Q8TC92
A0A087WTH5
P24534
Q86XR7
Q9UQR0
O76062
Q969H6
Q9BXI9
O43186
P19105
Q92956
Q8WVN6
Q5VTD9
P40879
P23258
P43405
Q8N8Z6
P51606
P11310
Q86UY5
Q9Y6J8
O60381
Q96AX2
P78410
Q99678
P17481
Q9HBM1
Q14344
Q9H5H4
Q5JSS6
Q05D32
Q6ZVM7
O95926
P10176
Q9BRQ8
Q9UF11
P09172
P56975
Q86UD3
Q9Y2S7
Q9H4H8
Q99943
P04141
Q12918
P22466
Q96PV6
O95447
A0PJW8
Q96IP4
Q07666
O14521
P67812
Q6PII3
Q9Y3M2
Q92504
Q8N7C0
P15173
O60683
P24588
O75618
Q9NVA2
Q765P7
Q6RFH5
Q9NX94
Q9UKM7
Q6L8H2
Q5TG30
Q9BYZ6
Q7Z3Y8
O00168
O43709
O96008
Q9Y6X2
Q9BRV3
Q96N76
Q9UBJ2
P03973
P01112
O15217
A8MQ27
P53779
Q6P5S2
Q9UK73
Q86SP6
Q9BY43
P62308
Q9HC52
Q08752
Q8NGL3
P52926
Q8TCV5
Q8N1N2
P37268
Q8NFR3
P61371
P34998
O75593
Q96JJ6
Q15274
P18146
P0DPD5
P62310
Q9HAU4
Q15326
Q9NWQ9
P62877
Q6ZP65
Q9NZA1
Q15370
Q6UWW0
O95201
P08247
P15923
Q9NVL1
Q8TAS1
O75344
Q9UHP7
Q16538
P12956
Q9BTV5
Q2M218
O00764
Q8N813
Q5W0B7
A0A1B0GTW7
P07148
Q8IWF6
Q9NPI7
P20138
Q96PZ2
P60372
Q9NRS6
P21754
Q99956
O95977
Q5XUX0
P51170
Q9BW11
Q99712
Q9P0T7
Q9UKA1
Q8NGD1
Q9NRR1
Q96BU1
Q17RC7
Q5T6F0
Q96KA5
P27169
Q9Y328
Q96HA8
Q9BRJ6
Q8N108
P17858
Q5TC79
P21741
Q8NCT1
Q9H2S5
Q9BW62
Q9NZQ9
Q96CV9
Q9HBE5
Q9HB90
Q9HCI7
Q8N344
P09326
Q567U6
Q9NWW9
P49901
P52945
Q9NR34
P27348
Q06643
P55056
Q86TS9
O95741
Q05315
Q96G03
Q16822
Q6RSH7
Q9BZV1
Q9UBF6
P30305
Q15544
Q9BUN1
P01871
P08620
Q8IVM0
Q9H446
Q96S95
P25685
Q13015
Q3KR16
Q8NGQ1
P57060
P11161
Q96IU2
Q8N1Q1
Q969Q6
P82673
O96018
P49959
Q9UQ90
A8MW99
Q6ZMZ0
Q9Y3Y2
Q9BUB4
Q8NB59
O14558
Q9H2L4
P04062
Q9H0F6
Q8N0X4
Q9UKL6
Q13217
Q0VAK6
Q6ZRF7
Q16552
Q7L5D6
Q9C0E8
Q9Y240
P18510
Q8N6I1
Q9BXI3
Q15406
Q9UBV4
O15218
O60927
Q6ZNB7
Q9Y6F7
P24557
O00622
P34741
Q8WXE1
Q14656
Q8TAT2
Q96BW1
Q9BTU6
Q9BQQ7
P09105
Q12841
Q9NVM6
Q8WXK3
Q16600
P37840
P29350
P21728
Q9BYE7
Q9UBU6
Q5SR56
Q9BWQ8
P13631
P51553
O95343
P0C0E4
Q9NXA8
Q8N967
Q96FZ7
Q86YD5
Q96BD0
P52657
Q96QA5
Q8WTR4
A8K4G0
Q8TDH9
O15194
Q7Z419
Q96JG8
P28325
Q9BRT6
A8K0Z3
P07910
Q9Y3D8
Q6UXH0
P43694
Q7L8J4
Q9Y6E7
Q9NZH7
P63104
Q5VV41
A0A0B4J2H0
Q9Y4Y9
P15559
P98170
Q15181
Q5W0V3
Q13162
P18089
Q9H5J0
P16435
Q15928
P50221
Q13303
Q96FG2
P15374
Q9H9T3
Q9Y6W8
Q9BUV8
Q8WVT3
A6NNA5
O43827
Q06250
Q7Z3V5
Q8IYK8
Q9UNK9
Q8WX92
P12955
Q9NV06
Q3KR37
Q13203
Q9H609
Q8TEZ7
Q9P1T7
O00470
O00757
O00746
Q9NZT2
P41182
Q9C030
O00330
P14653
Q99986
Q96JM7
Q6P2H3
Q9H497
O60565
O95198
Q9BSD7
Q9H489
Q9UIW0
Q99880
Q86U70
Q9H0R8
Q96K17
P19086
Q03113
Q13115
Q9HB63
Q9Y570
O75112
O75521
P04839
P02741
Q86UW9
P36508
P55042
Q86WC4
Q8N1G4
Q5QJE6
Q96RI0
Q9UPM6
Q7Z7D3
Q9UNK0
Q03013
Q9NT62
Q9GZN4
P56180
Q9Y399
Q66K80
Q96G91
P19438
Q75WM6
Q6N075
Q8N912
P20339
Q9UMR3
Q68EN5
O95393
Q13496
Q86U38
Q5VWI1
Q92879
P04798
P0CB38
Q9HC96
Q9H3M7
Q86YH6
O14957
Q9UBX0
Q8NH08
Q8N1N4
Q16236
Q8N543
Q92599
Q96NM4
Q06141
Q8NC56
Q96SR6
O60870
Q9H9S4
Q9BXL5
Q8WV60
Q13573
P21246
Q5T280
P45954
Q9UHI5
O75390
P35232
Q96LD8
P41968
Q15436
Q6W0C5
Q9GZQ8
Q96S44
O43711
Q9BUL9
Q496Y0
P07954
Q9NSC5
Q8NDH6
Q3SXR2
P15863
P53582
Q96LT6
O60704
P62195
Q00587
Q9BWJ5
Q16828
O75900
Q9Y2U5
P15169
Q6ZSS7
Q9Y478
Q16853
Q68D10
Q8N5T2
Q8IXM7
Q9Y5S9
Q96IZ7
O15204
Q05084
P62140
P22695
O15511
A8MVZ5
Q8NA77
Q9BZM6
Q6P9B6
Q96E17
Q8WUP2
P36222
P49591
Q68CL5
Q9BPZ3
Q96QZ0
Q9BT78
Q16740
Q9H4T2
P01591
Q5JQS6
O43865
P08588
Q9HDD0
Q02080
Q3C1V8
Q7LG56
Q3KNV8
Q9NQZ5
P22090
P48595
P27338
Q9BZD2
Q9UGP4
Q8IUK5
Q14982
O75446
Q5JSQ8
P07476
Q9C098
Q8IWZ5
O60739
Q9Y281
Q3SXM5
P50406
Q9Y6C9
Q17R60
O15173
O76081
Q9H0E7
Q9NXE8
P49407
P56856
Q9UII5
Q9HAH1
P20839
Q6P3R8
Q9UN81
P56470
Q12980
Q9NQC1
Q6B0I6
Q6P597
Q9P2K3
Q8NFJ9
Q8WV37
O60784
Q7Z6V5
P57058
Q96F86
O95391
Q15057
Q8WWP7
Q86Z20
Q5T9G4
Q15742
Q9Y3C5
Q9GZT6
Q9NQW7
Q01844
P29275
Q16520
Q92759
P49662
Q8TBH0
Q6ZNG2
O43315
Q5MNZ9
Q96LL3
Q6IEV9
P78549
Q9H993
Q4VX76
P05165
Q8WZ55
A6NFD8
P16452
P17655
Q9HBJ8
Q7RTU4
Q12836
Q8IUR0
P08243
Q9P0L2
P01906
Q8NGG5
P43307
Q7L0J3
Q01658
P60602
Q9HCE7
Q9UDV6
A6NK06
P51991
P51570
Q16143
Q15084
Q12951
Q8NH59
Q9H1R2
Q9NQ50
Q5JT82
P31275
Q9NYR8
O95096
P10644
P40855
Q8NB42
Q15653
Q17RD7
Q9H0T7
Q9BRQ0
Q99684
Q86YR5
P16104
P05090
Q9C086
Q13952
P0CG24
Q9UQ49
Q9HBU6
Q9UBU3
P08833
Q8IXL7
O14495
Q13360
Q9NVL8
Q68CJ6
P17041
Q8NCY6
Q8NFL0
Q8IVW6
Q99217
Q9BWD3
Q9ULP0
Q92529
Q8N5D0
Q96BT3
Q9Y343
Q8WV93
Q9UIL8
O75340
Q15723
Q495M9
Q96M95
Q14376
Q2TAA2
P0CJ87
Q13888
Q96B54
P43034
Q5VVX9
Q99612
P49418
Q5EBL4
P16619
Q16534
Q9UKF7
P51161
Q96SN7
Q9UBK9
P30872
P13725
P46937
O14908
P62269
P55212
P57723
P04180
A0A0B4J1Y9
Q8IZJ0
Q9Y225
P07992
Q15172
Q8NGR4
Q96QH2
P35790
P15248
Q92851
Q9H910
Q86YJ5
P61163
Q6DN72
Q9HA82
P13489
Q8NGF9
P05814
Q9Y581
P13647
Q9Y243
Q9UBR2
Q9H1P6
P15529
P61326
O15111
O95965
P47887
Q02539
P43234
Q9GZR5
Q13501
Q8NEA5
Q96C92
Q7Z6G3
P55789
Q8TAV5
Q8NGC9
Q5JR12
P11234
Q6ZTI6
P48506
Q6IPR3
A8MWV9
Q13619
O00409
Q9BWT1
Q9Y5C1
Q8N4L1
Q8WVQ1
Q96GX8
Q3SY56
O15178
Q99592
Q9NVP1
O43704
P62891
Q8NI37
Q6ZS72
Q3KQV3
P49755
Q7L273
O00418
D3W0D1
P78413
O75208
Q9UQQ1
P55899
Q9HB07
O43347
O43508
Q96DC9
Q9BXW4
P21580
O95139
P07237
Q9Y4M8
I1YAP6
P01116
Q3MHD2
O15370
Q6NUJ2
Q8N9B8
P48230
Q6ZVE7
Q15056
Q86VZ2
O43159
Q9BUV0
Q5TA78
P62955
Q9BX97
Q7RTY0
Q8TD86
Q8NEC5
Q53H12
Q86TL2
Q9UK22
Q9Y577
P32314
Q8TCP9
P15382
P22459
P56270
Q14331
Q9UNN8
Q99962
Q6IB77
Q13286
Q7L3V2
Q9UM22
Q6ZNG0
P42574
P35716
Q6UXT9
P49773
O60832
Q9ULX3
Q6IEU7
Q9NWN3
O60496
P0CG36
P51159
B4DU55
Q2TAY7
P26885
Q96PL2
Q96T91
Q96NE9
Q12765
A0A1W2PPL8
Q9Y483
P63272
Q96RJ6
P19544
Q9ULC3
Q6STE5
P15151
Q8IXS8
Q9H0F7
O43808
Q6QN14
P04553
Q9UG63
P12235
P01583
Q03014
Q13242
P21128
P80188
Q96MX3
P62979
O00204
Q9H5J8
P47710
Q6TCH7
P80511
Q9UNE7
Q6ZSU1
O75348
Q9NR77
Q6UXA7
Q00005
Q7RTS5
Q8NE62
Q92565
O75818
Q9BY15
Q8IXL6
Q9P2K6
P61088
P12829
P04181
P01889
Q9NVK5
Q6ZT62
Q7Z769
Q3ZCW2
Q5T2R2
Q2M5E4
Q9UER7
Q9UHD2
Q401N2
Q03426
Q9XRX5
P58062
Q5T700
O94811
Q14534
Q99547
Q8WXH2
Q494U1
Q06546
Q9UBY9
Q12934
P63000
Q86W47
Q5JXX7
P61952
Q8WZ60
Q7Z3Q1
Q9BS31
Q96G42
O15496
P13224
P01178
Q14055
Q9NSB2
Q9NPF4
Q13541
Q8N8U2
P37059
O00624
P61970
Q04771
Q8NHU3
P49184
Q86WB0
Q96B77
Q9NV31
Q2M2D7
Q9NRC8
O60664
Q96HC4
P30566
P55087
P49821
Q9BU76
Q8TDN6
O75911
Q9HBU1
Q2TBA0
O95433
Q14627
Q5T3I0
Q8NH63
Q8TF27
P0C7M6
Q7L1I2
Q9NUQ9
P28336
Q16539
O43716
Q9UKA8
Q9NQ48
P0C2W1
Q96SU4
Q96RA2
O00258
Q6P1Q0
Q9H6I2
Q9Y4K0
Q9NX76
Q8NB12
O75711
P25189
P55211
Q5T4W7
P31995
Q08722
Q8NHC4
Q9BV86
Q9NUI1
Q9H4E5
P15907
Q8N5P1
O60829
Q96CK0
Q8N3H0
O95059
Q9Y4U1
Q93098
Q13404
Q10981
Q8TBN0
O15347
P50548
Q9HA92
Q6NTF7
Q12778
Q9H772
O60883
P28289
Q99895
Q5VYV0
Q15853
Q5VUD6
B4DXR9
Q96M34
Q9H5F2
Q01543
P07196
Q9UK58
P31512
Q8TC84
Q8NGI9
O00560
Q9BPU9
Q96BY9
Q96SW2
Q7Z5Q1
P19484
Q13761
P60900
Q7L775
Q9BY11
P17017
Q16526
Q8N365
Q9H467
Q8WY41
A8MT65
Q8N5A5
Q9NSK0
Q8WUA7
O00401
Q9BX46
Q496A3
O43502
Q9H1M4
Q9NQ86
Q5M7Z0
P53611
Q14129
Q99538
P35900
Q9NWX6
O75508
A0A2R8Y619
Q9NUV7
Q8IZ40
Q9NVN8
Q86W11
P46781
Q96A32
Q99958
Q9Y2R0
P23416
P86478
Q6UW68
Q8IUB5
Q15287
P35998
Q96HH6
Q9BRP4
Q5UE93
Q16621
Q9GZV9
Q15080
Q16851
P59542
P18847
Q9Y6I8
Q9UKB3
Q9NYR9
Q13133
Q9H7T9
Q9NPD8
P24666
O43448
Q9BV19
P12277
Q96DM3
Q96PG8
Q9H6A0
Q9NWB1
Q9Y228
Q15397
Q18PE1
Q3KRA9
Q969V3
Q9NX57
O14770
P49593
A8MTI9
O75787
Q03154
Q9UGF7
P51575
O76014
Q6P1L8
Q15466
O15243
Q8IUR7
P25024
P62508
Q9UKK9
Q71UI9
Q8TAU3
Q9UJN7
Q6L8G4
E7ETH6
P17031
P21453
Q9Y2C5
Q8TCY5
P19525
Q4G0M1
Q86W67
Q96FZ2
O75953
Q3MIX3
Q9H7C4
P0DMV9
Q96S42
Q9Y275
Q8NHB8
O95995
O14737
Q96E35
Q9P2A4
Q96M96
Q96BA8
Q6RVD6
P10912
O95833
Q8NGR6
Q8IYK2
Q7RTP0
P55916
Q7RTV3
Q6PJQ5
P30038
Q7Z4N8
Q96IW2
Q13324
P48507
P62312
Q96GM8
P08729
O95822
Q96QA6
P09960
P04183
Q8N370
Q6PHW0
Q8TE04
P08118
O60516
Q969M3
A5PLL7
Q9H8S9
Q8N682
Q8N335
Q12950
Q9BTP6
Q9H1X1
Q8NGI6
Q8NCR6
Q9H5Q4
P58004
O75325
Q53FP2
Q8N7K0
A6NHQ4
P41231
Q9H4G1
O95971
O15240
Q7LC44
A6NC42
Q5T7P3
Q9NV92
P36544
Q8WTV1
Q9UHF0
Q8IVH4
Q6ZNE5
O95716
P22736
P35354
Q9H9A7
Q9UJJ9
Q9H342
Q6ZSB9
P56279
Q5VYX0
Q15306
Q9P270
P39023
P23919
P78545
Q96J87
P13051
P47897
P54886
Q8TCF1
Q96PH6
Q96PD7
Q93052
O14972
Q9H343
Q9H3N8
Q9NUG6
Q9H3H5
Q569H4
Q8TC21
P07478
Q13569
Q99633
Q16671
Q96NC0
Q8N5I2
Q12947
Q969S8
P54851
P41161
P07339
Q9H6T0
P51810
Q15843
Q9BUH8
Q9HAB3
Q8IXX5
Q8IVW4
Q9Y6Q1
Q8NDZ0
P43005
Q9BSF4
Q8IXM2
Q16384
P06734
Q9H222
Q6PCB0
Q04828
O00534
P49279
Q8TCW7
A1L190
P68363
Q9UBX2
Q9Y4X4
O95970
P20591
Q8TAP9
A8K830
Q6UW56
Q8NAC3
O94768
P24158
Q7L945
Q9NQZ8
P21781
Q1ED39
Q6PF18
Q99593
Q9H875
P43487
P49763
P55774
Q9NZS2
Q86WU2
Q9H347
P05019
P04179
P04629
Q5QJ74
Q96IY1
O75558
Q8NEY4
Q86XT2
P17030
P35611
Q5SRR4
A6NK75
Q96HJ9
Q9GZR2
Q9ULX5
Q9UKJ8
Q8NFQ8
Q70IA6
P15514
Q9H7T3
Q9NUT2
Q16549
Q8NGW1
Q8WYK0
P12980
Q99616
Q99584
Q9NZU5
P02679
E9PI22
Q9UBG3
P22692
P00403
P82921
P60568
Q9P0J6
Q8NGA2
Q16553
P47712
Q9UJD0
Q6NZ63
Q96BR6
Q8IUB3
Q9UKG4
Q96T25
Q15831
Q9NT22
Q14166
Q15546
Q96BN8
Q96DT0
Q96G97
Q17RB0
Q9H1D9
Q96DB2
P04279
O75352
Q9BZK7
P25963
Q8NDX9
Q92482
Q86UD4
O43708
Q9NPF5
Q9UQM7
O60243
Q92914
Q00796
Q0VAM2
Q8TBK2
O95084
O75841
Q6ZNG9
Q8TBR4
Q9NU39
P0CG00
Q9UNQ0
Q9UG22
O15520
Q6EBC2
O95948
Q93063
Q9UPY5
P53602
Q01581
Q05BQ5
Q8NF86
P52888
P05113
Q9BQ61
Q8N5S9
P40925
O00287
P01270
A8MXV4
Q99661
O14610
Q58G82
Q6UUV9
Q9NZI2
O00255
Q8NH92
A6NCS4
Q9BRG1
Q9P0J1
P98172
Q9Y5Z4
Q17RB8
Q86YT5
Q8IUH5
Q9Y619
P49207
P62495
P61081
Q15907
Q92530
Q8IVS2
O43719
Q96NT5
Q9NPQ8
P32856
Q92982
P07359
Q8WXX5
Q9Y272
O14757
Q9H1Z9
P57081
O14653
P48048
Q6IC98
P50440
P45880
Q92841
O00148
A0A0B4J2F0
Q6NXP0
Q9GZP1
Q02386
Q8WW34
Q8IYB8
Q9H208
Q9UJX2
Q9UPQ4
Q9Y223
Q96MV8
Q96QE5
Q96T88
P16471
Q8NFR7
Q01453
Q6ZR52
Q05066
P12838
Q96L03
Q92754
P05166
Q8IZP0
Q8WUE5
Q9Y2Y6
P05121
Q8IXQ5
Q6UXR4
Q8WTS6
Q96EB1
Q9NTM9
Q9BYJ4
P20618
Q9NRC9
Q7Z7M8
Q96DA6
Q9BYV2
Q03591
Q5T9C2
Q13021
Q8N865
Q96M94
Q4VC05
Q6NYC8
Q15631
P23381
Q9HC24
Q96I25
Q8N3Y1
Q8NGL0
Q4G0S7
Q9HCN6
Q8TBE0
Q9BSU3
Q86X51
P84022
Q03252
Q7KYR7
Q9H0G5
P53350
P21108
A8MVJ9
A6NDP7
P56705
Q86TJ2
Q9GZU7
P13521
Q9UBW8
Q9NYF3
Q96NB2
Q96H15
Q15669
Q6UWN5
Q96GA3
P18859
P50151
Q8IXI2
Q9UQ03
Q9NZM5
Q66K89
P80303
Q13586
Q96QE2
Q5JT25
P20248
P16050
O96005
Q12999
Q96GD0
Q6UW32
Q9UQQ2
Q9BZL3
Q9Y6K0
P11308
Q15014
Q8N2K1
Q70Z44
P51809
Q14469
Q14765
Q10589
P24001
Q13643
Q8N0S6
Q13319
Q9UKL0
Q08ER8
Q96N66
P0CW18
Q9H867
P0C626
Q16667
P20671
A0A1W2PPM0
O14579
Q494W8
Q8WXC6
Q969W8
Q96EL1
P50213
Q9BRJ2
Q9UQ88
Q6UXS0
Q9NZU7
Q12962
Q8NFZ5
P51858
Q8N7P3
P62166
P24387
P04899
P40305
Q07020
P53673
Q7Z2H8
Q9NQV8
P02794
Q9H6J7
Q7Z699
P26367
P49683
Q9NQL2
Q8NHG8
Q9H8M7
P09417
Q9H853
Q9P2T0
P17568
Q9NVC6
Q9GZY8
P10243
Q9UN36
O00187
Q9UDW3
Q8NEV9
O75935
Q5VVQ6
Q92569
Q9NVR7
Q8N127
O60941
Q08495
Q96P63
Q9BSB4
Q13190
P09525
Q96B97
B7ZW38
P78368
Q9H6L5
Q9Y466
P84090
P51589
O75312
P06307
P08311
Q8IUQ4
Q4LDG9
Q9UBD0
Q8N635
Q13520
P30511
Q9BW92
A8MQ03
Q5T0N5
Q9BX10
Q9Y3B2
P49286
P61981
Q5H9J7
Q8WXF3
Q99967
P36896
P55084
O15540
P60880
Q96MP8
Q7L099
Q6ZMU5
Q01101
P01850
Q9BXM7
Q68G74
Q16637
Q14190
Q9BV99
Q9Y2Y4
P50750
Q06520
Q8WU17
O60925
Q9HCC0
O75072
O60896
Q9BTC8
P78406
P80297
Q9UNN4
Q9BVK6
Q8IZM9
Q8IY49
O00585
Q5JUX0
Q9H0I2
P06748
Q8IW75
Q8NGS4
Q92552
Q8N5I3
Q9NZL9
Q9BSK4
P49675
P40313
Q8N4N3
Q9H7Z7
P63098
Q8WZA0
O43837
Q15464
Q8WVM8
Q13118
Q5M9Q1
Q8TDR0
Q9C0D3
Q6NX49
Q1KMD3
O95243
O00230
O15391
Q68CK6
P67809
Q96FW1
Q9NVS2
Q96A56
Q3LI66
P50402
Q9H568
P60321
Q9NPG2
P35613
Q9H4K1
O75449
Q69YN2
Q9NV12
Q9H9L7
Q9BV23
Q8N6T3
P35408
P49006
O94782
Q96P71
O60765
Q8TD22
Q9Y297
Q969W9
P51124
Q9P246
Q9H6Q4
Q96I36
Q86TB9
O43290
Q8WXF7
Q96E09
Q9H936
Q5T681
P09486
Q9NY59
Q587J8
Q6UVY6
Q15388
O94777
P08134
Q96EN9
Q3LI77
Q969H4
Q8NH83
Q96CN9
Q8IVV8
Q9UH92
Q01892
Q9NYD6
P08574
Q9H9H4
P25067
P07498
P46976
P20155
Q9NX00
Q9BYS1
Q8N6Q1
F5GYI3
Q96M27
Q9BT23
Q53GD3
Q01851
Q6MZQ0
Q9Y6Q6
Q16611
Q6IEY1
P29558
P30153
Q53T94
Q8N4F7
Q02447
P22061
P08174
Q13490
Q05639
O43301
Q9Y4X3
O76071
P40424
Q96RR4
Q8N6F7
Q92904
Q15365
P61960
Q6NZ67
P02790
Q9UNH5
Q5H9S7
Q9Y5Q0
P02808
Q9GZX9
Q16186
Q6PJW8
Q9NR71
Q96EH8
O14948
Q17RN3
Q9UIK4
Q8TAT5
Q9HAN9
Q04760
Q9NXF7
Q8TC05
P85037
O75569
Q969N4
Q8WU79
O60427
Q7L7L0
O75379
Q8WVF1
P23443
O43813
Q9BST9
O95848
Q9H0R6
Q8N8R3
P49238
P14373
O95983
P55895
Q9BXU2
Q13241
Q9NXV2
Q9NW13
Q93034
P0C7T5
Q14515
O00182
Q8IXA5
Q7Z6M1
P83110
Q9UBG7
O14645
Q8WWG9
P16383
Q8IVJ1
P68104
P52742
Q6B0K9
Q8NGJ6
Q96NS5
Q9H341
P30988
A4D161
Q86XR8
P40225
P61006
Q96E16
Q96PX8
Q15973
P10632
P25103
Q8WVP7
Q9Y5U4
Q9H2D1
P62244
Q05519
O00425
Q96AJ9
A0A1W2PR48
O14593
Q9UBU9
P15260
Q9NWS6
P46094
Q9HBV2
Q5F1R6
Q96LX8
Q9Y664
Q5VZ18
Q6DKK2
Q96MY1
Q9UBD6
Q9H3S3
O15344
Q8N3G9
Q5VY09
P13196
Q9Y5Y2
Q16864
Q92747
Q0VDD7
P41223
Q92481
Q9Y572
A8MT69
Q9BQW3
O43791
P35237
P82930
Q9BQ13
Q1ZZU3
Q05940
P36405
Q8N5I4
O14926
P51965
Q3YBM2
P62072
Q9P2N2
Q00059
P41273
O96013
P58499
Q96BZ9
Q9HAT8
Q96FL8
P06899
Q6UXB4
Q6IAA8
O00629
Q9NY33
Q8NCN4
P00915
Q9HAV5
P05937
Q8IZ81
O94864
Q13362
P09769
O43559
Q8NA92
Q2M2E3
Q8IYX4
P10073
Q9BXF6
Q8WXD2
Q3KNS6
Q9UBT3
O76099
P06870
Q06547
O15041
Q96BD6
Q6ZN57
Q9UHY1
Q13114
P06732
A5D8T8
Q13277
Q96EK9
A0A1B0GWK0
Q5VV52
Q9Y4X0
Q96BF6
Q6PJ61
Q96LJ8
Q12912
Q86XN8
P00395
P51955
Q86SE5
Q86XT9
P00491
P43220
Q01362
Q9NZQ7
Q92558
P41439
Q8NH42
Q9Y5X1
Q68DU8
Q9Y215
Q9NSA0
Q0VAQ4
P04155
Q96K12
Q8NAP8
Q9BT04
A0A0U1RRE5
P0DP06
Q969T9
P37058
A8MV81
A6NHQ2
P49840
Q86WT6
P06126
Q6PID6
Q9HBL8
Q5VWC8
Q9BUE6
O94892
Q6UXT8
Q96G28
Q9Y6U7
Q2M2Z5
Q9NPA2
O00124
Q3SXP7
Q9Y6Y0
Q92828
P18074
Q9H015
P78314
P05181
O75635
Q06710
P17181
A1A4Y4
Q9Y6N1
P36021
P23743
A9YTQ3
P17676
P32302
Q9NU23
A7MCY6
Q9P287
Q8IV48
Q96AQ7
Q96N21
Q9HCN8
O60383
P55735
Q9UBY8
O43583
Q96PC3
A1L020
Q9H503
Q9UGL9
Q66K41
Q9H963
Q8TC26
Q99697
P68106
Q7Z412
Q9NSA3
P60410
P48556
O75290
O95402
P14618
Q9Y473
O75367
A6NEC2
Q9H227
P11229
P46779
Q499Z4
P61011
Q8WUQ7
Q8NEY8
Q96EX2
Q96DR8
Q9BWX5
Q0D2H9
Q9NV29
P29373
Q96JY0
Q03431
O95727
Q03135
Q15758
Q01201
Q6XYQ8
Q9P1Z3
Q8IV63
Q9H0Y0
Q01469
P22531
Q8NHP7
Q8IY84
P35250
P48742
Q8NET6
O95251
Q96SD1
Q6ICG8
P20062
Q12982
A1A5C7
Q8NBZ0
P61421
O95214
P35453
Q969G9
P0C7W6
Q4KMQ1
O75477
P78371
Q9P0N8
P58417
Q7Z417
O43364
Q96RQ1
Q15942
P11912
O95661
Q12946
Q9UEY8
Q02809
P04271
P0CI00
P00966
Q9NRV9
P41240
P05388
Q02790
Q8WV92
P52739
Q96RI1
Q86YM7
O15315
Q8NEG4
P55085
Q92890
Q9H0W5
Q07011
P17544
Q9BPX1
Q96KX2
O76082
Q9H1K1
O00257
O14975
Q14116
A2RTY3
Q96MX6
Q9NSN8
O43866
Q9H4Y5
Q96A33
O95793
Q99504
Q9H211
Q9UP65
P06396
P41250
P52736
P01258
P49715
Q5J8M3
P15880
Q8IUQ0
Q92611
Q5EG05
Q86WW8
Q96MU8
P15692
Q02338
P68371
Q01523
P56179
P04075
Q96JJ7
O75602
Q86SG2
P01303
Q96CW9
